ID,value,layer,type,soil_var,res,site_code,sp_code,elev_code
2,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PINIG_LANTEIRA_H,nigra,high
5,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_L,pinaster,low
7,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIPIN_JEREZ_H,pinaster,high
9,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,1.2644953727722168,da025,Densidad Aparente Superficial,da_sup,250,PIHAL_RAGUA_H,halepensis,high
1,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PINIG_LANTEIRA_H,nigra,high
5,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_L,pinaster,low
7,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIPIN_JEREZ_H,pinaster,high
9,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,1.2654953002929688,mofinal,Materia Organica Subsuperficial,mo_sub,250,PIHAL_RAGUA_H,halepensis,high
1,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PINIG_LANTEIRA_H,nigra,high
5,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_L,pinaster,low
7,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIPIN_JEREZ_H,pinaster,high
9,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,2.4182357788085938,mofinal,Materia Organica Superficial,mo_sup,250,PIHAL_RAGUA_H,halepensis,high
1,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_M,nigra,medium
3,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_L2,nigra,low
4,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PINIG_LANTEIRA_H,nigra,high
5,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_L,pinaster,low
7,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_M,pinaster,medium
8,2.7799692153930664,ko_ok,Parámetros de conductividad hidráulica no saturada de Mualem,Conductividad Saturada Aparente Subsuperficial,250,PIPIN_JEREZ_H,pinaster,high
