tmed,modelo,pred,name_modelo
16,mtrat1,0.015205735398335116,Gaussian
16,mtrat2,0.019017277563440748,Gaussian Extended
16,mtrat3,0.02705482980354052,Log-normal
16,mtrat4,0.02043119067643206,Logistic
16,mtrat5,0.043585174855841326,Asymptotic
16,mtrat6,0.19993747519055735,Logistic_Mod
16.5,mtrat1,0.010303042237789752,Gaussian
16.5,mtrat2,0.014469264520653871,Gaussian Extended
16.5,mtrat3,0.022155124879606948,Log-normal
16.5,mtrat4,0.016001083494186608,Logistic
16.5,mtrat5,0.038273775341528884,Asymptotic
16.5,mtrat6,0.1999281680076991,Logistic_Mod
17,mtrat1,0.0068613563141557326,Gaussian
17,mtrat2,0.01094294485974573,Gaussian Extended
17,mtrat3,0.01815769692073149,Log-normal
17,mtrat4,0.012519282444436699,Logistic
17,mtrat5,0.03383235940050139,Asymptotic
17,mtrat6,0.19992428576659912,Logistic_Mod
17.5,mtrat1,0.0044909777909375665,Gaussian
17.5,mtrat2,0.008227475825646367,Gaussian Extended
17.5,mtrat3,0.014895242891624203,Log-normal
17.5,mtrat4,0.009787577779159971,Logistic
17.5,mtrat5,0.030118427600030084,Asymptotic
17.5,mtrat6,0.19992266640966116,Logistic_Mod
18,mtrat1,0.0028890714536920254,Gaussian
18,mtrat2,0.006150286351237109,Gaussian Extended
18,mtrat3,0.012231243023019778,Log-normal
18,mtrat4,0.007647314441352842,Logistic
18,mtrat5,0.02701282127950131,Asymptotic
18,mtrat6,0.1999219909476498,Logistic_Mod
18.5,mtrat1,0.0018266784292721532,Gaussian
18.5,mtrat2,0.004571608491882382,Gaussian Extended
18.5,mtrat3,0.010054479190005813,Log-normal
18.5,mtrat4,0.0059722427613593185,Logistic
18.5,mtrat5,0.024415899435948824,Asymptotic
18.5,mtrat6,0.19992170920113964,Logistic_Mod
19,mtrat1,0.0011351476620852312,Gaussian
19,mtrat2,0.0033793534785832883,Gaussian Extended
19,mtrat3,0.008274449894301823,Log-normal
19,mtrat4,0.0046623558008234214,Logistic
19,mtrat5,0.022244341818700074,Asymptotic
