prec,modelo,pred,name_modelo
61,mprecrat4,0.10798858443006266,Asymptotic
61,mprecrat5,0.03782263891263883,Gompertz
62,mprecrat1,0.05917594220669467,Gaussian
62,mprecrat3,0.004046832828942446,Log-normal
62,mprecrat4,0.10822679485517106,Asymptotic
62,mprecrat5,0.038325091112304976,Gompertz
63,mprecrat1,0.05941750670634299,Gaussian
63,mprecrat3,0.004254821083518597,Log-normal
63,mprecrat4,0.10846508070121957,Asymptotic
63,mprecrat5,0.038831837308940374,Gompertz
64,mprecrat1,0.05965978681440078,Gaussian
64,mprecrat3,0.004468705918662488,Log-normal
64,mprecrat4,0.10870344001377084,Asymptotic
64,mprecrat5,0.03934288294009541,Gompertz
65,mprecrat1,0.05990278324740539,Gaussian
65,mprecrat3,0.004688490149207779,Log-normal
65,mprecrat4,0.10894187083595516,Asymptotic
65,mprecrat5,0.03985823310772308,Gompertz
66,mprecrat1,0.060146496715051186,Gaussian
66,mprecrat3,0.004914173909350165,Log-normal
66,mprecrat4,0.10918037120853412,Asymptotic
66,mprecrat5,0.040377892577402534,Gompertz
67,mprecrat1,0.06039092792014891,Gaussian
67,mprecrat3,0.005145754751474118,Log-normal
67,mprecrat4,0.10941893916996452,Asymptotic
67,mprecrat5,0.040901865777627354,Gompertz
68,mprecrat1,0.06063607755858478,Gaussian
68,mprecrat3,0.005383227742862668,Log-normal
68,mprecrat4,0.10965757275646246,Asymptotic
68,mprecrat5,0.041430156799157784,Gompertz
69,mprecrat1,0.06088194631927973,Gaussian
69,mprecrat3,0.0056265855602443265,Log-normal
69,mprecrat4,0.10989627000206736,Asymptotic
69,mprecrat5,0.041962769394436966,Gompertz
70,mprecrat1,0.06112853488414871,Gaussian
70,mprecrat3,0.00587581858214284,Log-normal
70,mprecrat4,0.11013502893870646,Asymptotic
70,mprecrat5,0.042499706977071186,Gompertz
71,mprecrat1,0.06137584392805981,Gaussian
71,mprecrat3,0.006130914979006389,Log-normal
71,mprecrat4,0.11037384759625932,Asymptotic
71,mprecrat5,0.04304097262137357,Gompertz
72,mprecrat1,0.06162387411879337,Gaussian
72,mprecrat3,0.006391860801101881,Log-normal
72,mprecrat4,0.11061272400262233,Asymptotic
72,mprecrat5,0.04358656906197142,Gompertz
73,mprecrat1,0.061872626117001346,Gaussian
73,mprecrat3,0.006658640064168603,Log-normal
73,mprecrat4,0.11085165618377353,Asymptotic
73,mprecrat5,0.044136498693476495,Gompertz
74,mprecrat1,0.06212210057616638,Gaussian
74,mprecrat3,0.006931234832832587,Log-normal
74,mprecrat4,0.11109064216383768,Asymptotic
74,mprecrat5,0.04469076357021841,Gompertz
75,mprecrat1,0.06237229814256099,Gaussian
75,mprecrat3,0.007209625301789674,Log-normal
75,mprecrat4,0.11132967996515106,Asymptotic
75,mprecrat5,0.04524936540604065,Gompertz
76,mprecrat1,0.06262321945520684,Gaussian
76,mprecrat3,0.007493789874770571,Log-normal
76,mprecrat4,0.11156876760832682,Asymptotic
76,mprecrat5,0.0458123055741589,Gompertz
77,mprecrat1,0.06287486514583383,Gaussian
77,mprecrat3,0.007783705241306553,Log-normal
77,mprecrat4,0.11180790311232017,Asymptotic
77,mprecrat5,0.04637958510708172,Gompertz
78,mprecrat1,0.0631272358388393,Gaussian
78,mprecrat3,0.008079346451318328,Log-normal
78,mprecrat4,0.11204708449449378,Asymptotic
78,mprecrat5,0.04695120469659248,Gompertz
79,mprecrat1,0.06338033215124726,Gaussian
79,mprecrat3,0.008380686987554647,Log-normal
79,mprecrat4,0.11228630977068345,Asymptotic
79,mprecrat5,0.047527164693793304,Gompertz
80,mprecrat1,0.06363415469266752,Gaussian
80,mprecrat3,0.008687698835910038,Log-normal
80,mprecrat4,0.11252557695526355,Asymptotic
80,mprecrat5,0.04810746510920965,Gompertz
81,mprecrat1,0.06388870406525503,Gaussian
81,mprecrat3,0.009000352553654077,Log-normal
81,mprecrat4,0.11276488406121282,Asymptotic
81,mprecrat5,0.048692105612955776,Gompertz
82,mprecrat1,0.06414398086366883,Gaussian
82,mprecrat3,0.00931861733560681,Log-normal
82,mprecrat4,0.11300422910018029,Asymptotic
82,mprecrat5,0.0492810855349606,Gompertz
83,mprecrat1,0.0643999856750315,Gaussian
83,mprecrat3,0.009642461078296728,Log-normal
83,mprecrat4,0.11324361008255103,Asymptotic
83,mprecrat5,0.049874403865253235,Gompertz
84,mprecrat1,0.06465671907888826,Gaussian
84,mprecrat3,0.009971850442139545,Log-normal
84,mprecrat4,0.11348302501751233,Asymptotic
84,mprecrat5,0.050472059254308387,Gompertz
85,mprecrat1,0.06491418164716618,Gaussian
85,mprecrat3,0.010306750911676989,Log-normal
85,mprecrat4,0.11372247191311964,Asymptotic
85,mprecrat5,0.05107405001345057,Gompertz
86,mprecrat1,0.06517237394413357,Gaussian
86,mprecrat3,0.010647126853916179,Log-normal
86,mprecrat4,0.11396194877636298,Asymptotic
86,mprecrat5,0.05168037411531697,Gompertz
87,mprecrat1,0.06543129652635897,Gaussian
87,mprecrat3,0.01099294157481076,Log-normal
87,mprecrat4,0.11420145361323292,Asymptotic
87,mprecrat5,0.05229102919437884,Gompertz
88,mprecrat1,0.06569094994267066,Gaussian
88,mprecrat3,0.011344157373925398,Log-normal
88,mprecrat4,0.11444098442878706,Asymptotic
88,mprecrat5,0.052906012547520115,Gompertz
89,mprecrat1,0.06595133473411582,Gaussian
89,mprecrat3,0.011700735597326109,Log-normal
89,mprecrat4,0.11468053922721635,Asymptotic
89,mprecrat5,0.05352532113467371,Gompertz
90,mprecrat1,0.06621245143391978,Gaussian
90,mprecrat3,0.012062636688738387,Log-normal
90,mprecrat4,0.11492011601191172,Asymptotic
90,mprecrat5,0.05414895157951441,Gompertz
91,mprecrat1,0.0664743005674454,Gaussian
91,mprecrat3,0.012429820239016008,Log-normal
91,mprecrat4,0.1151597127855303,Asymptotic
91,mprecrat5,0.05477690017020794,Gompertz
92,mprecrat1,0.06673688265215244,Gaussian
92,mprecrat3,0.01280224503396245,Log-normal
92,mprecrat4,0.11539932755006228,Asymptotic
92,mprecrat5,0.055409162860215806,Gompertz
93,mprecrat1,0.06700019819755676,Gaussian
93,mprecrat3,0.013179869100547595,Log-normal
93,mprecrat4,0.1156389583068972,Asymptotic
93,mprecrat5,0.05604573526915559,Gompertz
94,mprecrat1,0.0672642477051898,Gaussian
94,mprecrat3,0.013562649751561113,Log-normal
94,mprecrat4,0.1158786030568909,Asymptotic
94,mprecrat5,0.05668661268371541,Gompertz
95,mprecrat1,0.06752903166855788,Gaussian
95,mprecrat3,0.013950543628744634,Log-normal
95,mprecrat4,0.11611825980043206,Asymptotic
95,mprecrat5,0.05733179005862297,Gompertz
96,mprecrat1,0.06779455057310166,Gaussian
96,mprecrat3,0.014343506744443471,Log-normal
96,mprecrat4,0.11635792653750887,Asymptotic
96,mprecrat5,0.057981262017667894,Gompertz
97,mprecrat1,0.06806080489615562,Gaussian
97,mprecrat3,0.014741494521818487,Log-normal
97,mprecrat4,0.11659760126777598,Asymptotic
97,mprecrat5,0.05863502285477715,Gompertz
98,mprecrat1,0.0683277951069074,Gaussian
98,mprecrat3,0.015144461833658557,Log-normal
98,mprecrat4,0.11683728199062096,Asymptotic
98,mprecrat5,0.05929306653514274,Gompertz
99,mprecrat1,0.0685955216663573,Gaussian
99,mprecrat3,0.015552363039832503,Log-normal
99,mprecrat4,0.11707696670523145,Asymptotic
99,mprecrat5,0.05995538669640145,Gompertz
100,mprecrat1,0.06886398502727786,Gaussian
100,mprecrat3,0.015965152023419818,Log-normal
100,mprecrat4,0.11731665341066173,Asymptotic
100,mprecrat5,0.060621976649865406,Gompertz
101,mprecrat1,0.06913318563417331,Gaussian
101,mprecrat3,0.016382782225557946,Log-normal
101,mprecrat4,0.11755634010589958,Asymptotic
101,mprecrat5,0.061292829381803575,Gompertz
102,mprecrat1,0.0694031239232392,Gaussian
102,mprecrat3,0.016805206679043488,Log-normal
102,mprecrat4,0.11779602478993313,Asymptotic
102,mprecrat5,0.06196793755477313,Gompertz
103,mprecrat1,0.069673800322322,Gaussian
103,mprecrat3,0.017232378040724375,Log-normal
103,mprecrat4,0.11803570546181769,Asymptotic
103,mprecrat5,0.06264729350899988,Gompertz
104,mprecrat1,0.0699452152508786,Gaussian
104,mprecrat3,0.01766424862271838,Log-normal
104,mprecrat4,0.11827538012074254,Asymptotic
104,mprecrat5,0.06333088926380782,Gompertz
105,mprecrat1,0.07021736911993616,Gaussian
105,mprecrat3,0.01810077042249339,Log-normal
105,mprecrat4,0.1185150467660977,Asymptotic
105,mprecrat5,0.06401871651909666,Gompertz
106,mprecrat1,0.07049026233205159,Gaussian
106,mprecrat3,0.018541895151843846,Log-normal
106,mprecrat4,0.11875470339754085,Asymptotic
106,mprecrat5,0.06471076665686622,Gompertz
107,mprecrat1,0.0707638952812715,Gaussian
107,mprecrat3,0.01898757426479654,Log-normal
107,mprecrat4,0.11899434801506395,Asymptotic
107,mprecrat5,0.06540703074278838,Gompertz
108,mprecrat1,0.0710382683530918,Gaussian
108,mprecrat3,0.019437758984479102,Log-normal
108,mprecrat4,0.11923397861906009,Asymptotic
108,mprecrat5,0.06610749952782442,Gompertz
109,mprecrat1,0.07131338192441758,Gaussian
109,mprecrat3,0.019892400328982374,Log-normal
109,mprecrat4,0.11947359321039017,Asymptotic
109,mprecrat5,0.06681216344988823,Gompertz
110,mprecrat1,0.0715892363635229,Gaussian
110,mprecrat3,0.020351449136248766,Log-normal
110,mprecrat4,0.11971318979044959,Asymptotic
110,mprecrat5,0.06752101263555378,Gompertz
111,mprecrat1,0.07186583203001076,Gaussian
111,mprecrat3,0.020814856088016254,Log-normal
111,mprecrat4,0.11995276636123493,Asymptotic
111,mprecrat5,0.06823403690180715,Gompertz
112,mprecrat1,0.07214316927477288,Gaussian
112,mprecrat3,0.02128257173284777,Log-normal
112,mprecrat4,0.12019232092541055,Asymptotic
112,mprecrat5,0.06895122575784143,Gompertz
113,mprecrat1,0.0724212484399498,Gaussian
113,mprecrat3,0.02175454650827536,Log-normal
113,mprecrat4,0.12043185148637506,Asymptotic
113,mprecrat5,0.06967256840689447,Gompertz
114,mprecrat1,0.07270006985889094,Gaussian
114,mprecrat3,0.022230730762086245,Log-normal
114,mprecrat4,0.12067135604832799,Asymptotic
114,mprecrat5,0.07039805374812853,Gompertz
115,mprecrat1,0.07297963385611443,Gaussian
115,mprecrat3,0.022711074772779154,Log-normal
115,mprecrat4,0.12091083261633609,Asymptotic
115,mprecrat5,0.07112767037855118,Gompertz
116,mprecrat1,0.07325994074726738,Gaussian
116,mprecrat3,0.0231955287692165,Log-normal
116,mprecrat4,0.12115027919639983,Asymptotic
116,mprecrat5,0.07186140659497671,Gompertz
117,mprecrat1,0.07354099083908602,Gaussian
117,mprecrat3,0.02368404294949893,Log-normal
117,mprecrat4,0.12138969379551967,Asymptotic
117,mprecrat5,0.07259925039602727,Gompertz
118,mprecrat1,0.07382278442935587,Gaussian
118,mprecrat3,0.024176567499087146,Log-normal
118,mprecrat4,0.1216290744217623,Asymptotic
118,mprecrat5,0.07334118948417306,Gompertz
119,mprecrat1,0.07410532180687203,Gaussian
119,mprecrat3,0.02467305260819528,Log-normal
119,mprecrat4,0.12186841908432684,Asymptotic
119,mprecrat5,0.0740872112678112,Gompertz
120,mprecrat1,0.074388603251399385,Gaussian
120,mprecrat3,0.025173448488479636,Log-normal
120,mprecrat4,0.12210772579361098,Asymptotic
120,mprecrat5,0.0748373028633816,Gompertz
121,mprecrat1,0.0746726290336331,Gaussian
