year,sp_code,elev_code,npp,npp_qc
2019,pinaster,low2,628.3000000000001,3
2019,pinaster,low,690.7,5
2019,pinaster,medium,784.1,3
2019,pinaster,high,786.4000000000001,3
2019,halepensis,medium,630.5,3
2019,halepensis,low,316,3
2019,halepensis,high,545.2,5
2019,sylvestris,low,960.5,7
2019,sylvestris,medium,903.5,7
2019,sylvestris,high,760.7,9
2020,nigra,medium,739.3000000000001,5
2020,nigra,low,724.4000000000001,5
2020,nigra,high,768.6,16
2020,pinaster,low2,596.3000000000001,9
2020,pinaster,low,655.7,7
2020,pinaster,medium,704.7,13
2020,pinaster,high,766.8000000000001,11
2020,halepensis,medium,548.1,7
2020,halepensis,low,248.3,9
2020,halepensis,high,505.6,11
2020,sylvestris,low,910.8000000000001,14
2020,sylvestris,medium,890.4000000000001,18
2020,sylvestris,high,739.4000000000001,20
2021,nigra,medium,797.1,14
2021,nigra,low,795.3000000000001,7
2021,nigra,high,813.5,16
2021,pinaster,low2,631.8000000000001,7
2021,pinaster,low,696.2,7
2021,pinaster,medium,845.2,7
2021,pinaster,high,793.4000000000001,14
2021,halepensis,medium,622.9000000000001,5
2021,halepensis,low,278.1,16
2021,halepensis,high,457.40000000000003,11
2021,sylvestris,low,988.1,7
2021,sylvestris,medium,906.1,3
2021,sylvestris,high,796.7,9
