site_code,sp_elev,Specie,elev_code,sp_code,season,mean_tau,sd_tau,mean_pvalue_mk,sd_pvalue_mk,mean_senslope,sd_senslope,mean_pvalue_sen,sd_pvalue_sen,ypos,p_value_string,taulabel
PIHAL_RAGUA_H,halepensis_high,P. halepensis,high,halepensis,yearly,-0.1778656244277954,-0.20158104598522186,0.24521103501319885,0.18666048347949982,-5.391304347826086e-4,-2.3292939539859558e-4,0.24521106099768,0.18666052241558184,0.49,,"tau == ""-0.18"""
PINIG_LANTEIRA_H,nigra_high,P. nigra,high,nigra,autumn,0.49407118558883667,0.16996048390865326,0.0010570287704467773,0.2673269510269165,0.002333846153846152,5.279036897525989e-4,0.0010570065740947395,0.2673270197885057,0.49,**,"tau == ""0.49**"""
PINIG_LANTEIRA_H,nigra_high,P. nigra,high,nigra,spring,0.38811957836151123,0.12252964824438095,0.010385870933532715,0.42817771434783936,0.002225000000000002,3.5711781896452635e-4,0.010385930063951054,0.42817779030963826,0.49,*,"tau == ""0.39*"""
PINIG_LANTEIRA_H,nigra_high,P. nigra,high,nigra,summer,0.3913043737411499,-0.1778656244277954,0.009647250175476074,0.24521103501319885,0.0018287037037037028,-4.7887512082741873e-4,0.009647201991964168,0.24521106099768,0.49,**,"tau == ""0.39**"""
PINIG_LANTEIRA_H,nigra_high,P. nigra,high,nigra,winter,-0.03557312488555908,0.08300396054983139,0.8326659202575684,0.5973541736602783,-8.030303030303155e-5,3.0925163222624447e-4,0.8326659395181515,0.5973541948267042,0.49,,"tau == ""-0.04"""
PINIG_LANTEIRA_H,nigra_high,P. nigra,high,nigra,yearly,0.39920949935913086,-0.043478261679410934,0.008265018463134766,0.7916993498802185,0.001721428571428572,-4.690559192586731e-5,0.008265058490477546,0.7916993472718744,0.49,**,"tau == ""0.4**"""
PINIG_LANTEIRA_L2,nigra_low,P. nigra,low,nigra,autumn,0.1778656244277954,-0.03557312488555908,0.24521100521087646,0.8326659202575684,0.0010300000000000031,-2.4379417202602394e-4,0.24521106099768,0.8326659395181515,0.43,,"tau == ""0.18"""
PINIG_LANTEIRA_L2,nigra_low,P. nigra,low,nigra,spring,-0.07509882003068924,0.09090909361839294,0.6345102190971375,0.5612201690673828,-3.4999999999999474e-4,4.5537121388803797e-4,0.6345102928818573,0.5612202073936174,0.43,,"tau == ""-0.08"""
PINIG_LANTEIRA_L2,nigra_low,P. nigra,low,nigra,summer,0.051383402198553085,0.043478261679410934,0.7513000965118408,0.7916994094848633,1.0833333333332834e-4,4.828761777602009e-5,0.7513001501987963,0.7916993472718744,0.43,,"tau == ""0.05"""
PINIG_LANTEIRA_L2,nigra_low,P. nigra,low,nigra,winter,-0.44664034247398376,-0.36758896708488464,0.003096708795055747,0.01510873343795538,-0.0029909090909090944,-8.688120550368563e-4,0.0030967114027454015,0.015108741031785987,0.43,**,"tau == ""-0.45**"""
PINIG_LANTEIRA_L2,nigra_low,P. nigra,low,nigra,yearly,-0.1936759054660797,-0.1620553433895111,0.20490440726280212,0.2907770872116089,-5.335652173913033e-4,-2.4122445404004886e-4,0.20490442371975073,0.29077716928272723,0.43,,"tau == ""-0.19"""
PINIG_LANTEIRA_M,nigra_medium,P. nigra,medium,nigra,autumn,0.0988142341375351,0.1620553433895111,0.5261781215667725,0.2907770872116089,5.240000000000022e-4,3.707220494465972e-4,0.5261780967197714,0.29077716928272723,0.46,,"tau == ""0.1"""
PINIG_LANTEIRA_M,nigra_medium,P. nigra,medium,nigra,spring,-0.003952569328248501,0.1146245151758194,1,0.4596078395843506,-1.777777777777952e-5,3.0950506345663216e-4,1,0.45960782304895875,0.46,,"tau == ""0"""
PINIG_LANTEIRA_M,nigra_medium,P. nigra,medium,nigra,summer,-0.1146245151758194,-0.25691699981689453,0.4596077799797058,0.09097643941640854,-4.833333333333356e-4,-5.663170945578201e-4,0.45960782304895875,0.09097646308605899,0.46,,"tau == ""-0.11"""
PINIG_LANTEIRA_M,nigra_medium,P. nigra,medium,nigra,winter,-0.30434784293174744,-0.16996048390865326,0.044728927314281464,0.2673269510269165,-0.0017857142857142874,-9.087233881315458e-4,0.044728937313652184,0.2673270197885057,0.46,*,"tau == ""-0.3*"""
