date,elev_code,sp_code,sp_elev,npp,npp_qc
2008-01-01,low2,pinaster,pinaster_low2,527.6,16
2008-01-01,low,pinaster,pinaster_low,620.9,5
2008-01-01,medium,pinaster,pinaster_medium,773.6,17
2008-01-01,high,pinaster,pinaster_high,733.9,20
2008-01-01,medium,halepensis,halepensis_medium,644.7,5
2008-01-01,low,halepensis,halepensis_low,262.8,14
2008-01-01,high,halepensis,halepensis_high,490.1,11
2008-01-01,low,sylvestris,sylvestris_low,880.4000000000001,15
2008-01-01,medium,sylvestris,sylvestris_medium,803.8000000000001,13
2008-01-01,high,sylvestris,sylvestris_high,662.8000000000001,28
2009-01-01,medium,nigra,nigra_medium,683.1,0
2009-01-01,low,nigra,nigra_low,641.2,5
2009-01-01,high,nigra,nigra_high,697.5,9
2009-01-01,low2,pinaster,pinaster_low2,517.6,14
2009-01-01,low,pinaster,pinaster_low,594.4000000000001,8
2009-01-01,medium,pinaster,pinaster_medium,707.9000000000001,7
2009-01-01,high,pinaster,pinaster_high,680.1,16
2009-01-01,medium,halepensis,halepensis_medium,648,3
2009-01-01,low,halepensis,halepensis_low,318.8,6
2009-01-01,high,halepensis,halepensis_high,467.40000000000003,9
2009-01-01,low,sylvestris,sylvestris_low,819.6999999999999,17
2009-01-01,medium,sylvestris,sylvestris_medium,787.7,19
2009-01-01,high,sylvestris,sylvestris_high,637.4000000000001,28
2010-01-01,medium,nigra,nigra_medium,754.7,5
2010-01-01,low,nigra,nigra_low,714.0000000000001,5
2010-01-01,high,nigra,nigra_high,761,14
2010-01-01,low2,pinaster,pinaster_low2,591.9,7
2010-01-01,low,pinaster,pinaster_low,680.1,14
2010-01-01,medium,pinaster,pinaster_medium,821.6999999999999,11
2010-01-01,high,pinaster,pinaster_high,792.6000000000001,16
2010-01-01,medium,halepensis,halepensis_medium,698.6,5
2010-01-01,low,halepensis,halepensis_low,355.4,14
2010-01-01,high,halepensis,halepensis_high,535.2,6
2010-01-01,low,sylvestris,sylvestris_low,895.5000000000001,20
2010-01-01,medium,sylvestris,sylvestris_medium,827.4,20
2010-01-01,high,sylvestris,sylvestris_high,732.3000000000001,22
2011-01-01,medium,nigra,nigra_medium,811.1,5
2011-01-01,low,nigra,nigra_low,777.8000000000001,7
2011-01-01,high,nigra,nigra_high,764.1,3
2011-01-01,low2,pinaster,pinaster_low2,673,9
2011-01-01,low,pinaster,pinaster_low,736.6,3
2011-01-01,medium,pinaster,pinaster_medium,836.9000000000001,5
2011-01-01,high,pinaster,pinaster_high,815.0000000000001,11
2011-01-01,medium,halepensis,halepensis_medium,726.5,7
2011-01-01,low,halepensis,halepensis_low,406.6,3
2011-01-01,high,halepensis,halepensis_high,605.4000000000001,7
2011-01-01,low,sylvestris,sylvestris_low,1004.1999999999999,11
2011-01-01,medium,sylvestris,sylvestris_medium,892.7,14
2011-01-01,high,sylvestris,sylvestris_high,784.6,22
2012-01-01,medium,nigra,nigra_medium,553.8000000000001,9
2012-01-01,low,nigra,nigra_low,528.3,9
2012-01-01,high,nigra,nigra_high,554.2,14
2012-01-01,low2,pinaster,pinaster_low2,529.4,9
2012-01-01,low,pinaster,pinaster_low,546.1,5
2012-01-01,medium,pinaster,pinaster_medium,584.6,5
2012-01-01,high,pinaster,pinaster_high,590.3000000000001,7
2012-01-01,medium,halepensis,halepensis_medium,567.4,0
2012-01-01,low,halepensis,halepensis_low,302,11
2012-01-01,high,halepensis,halepensis_high,464.1,14
2012-01-01,low,sylvestris,sylvestris_low,759.7,9
2012-01-01,medium,sylvestris,sylvestris_medium,733.2,11
2012-01-01,high,sylvestris,sylvestris_high,627.1999999999999,15
2013-01-01,medium,nigra,nigra_medium,812.7,7
2013-01-01,low,nigra,nigra_low,788.8000000000001,7
2013-01-01,high,nigra,nigra_high,824.2,5
2013-01-01,low2,pinaster,pinaster_low2,725.0000000000001,9
2013-01-01,low,pinaster,pinaster_low,794.1,3
2013-01-01,medium,pinaster,pinaster_medium,901.3,7
2013-01-01,high,pinaster,pinaster_high,846.7,5
2013-01-01,medium,halepensis,halepensis_medium,763.7,9
2013-01-01,low,halepensis,halepensis_low,383.20000000000005,9
2013-01-01,high,halepensis,halepensis_high,633.7,9
2013-01-01,low,sylvestris,sylvestris_low,1036.9,11
2013-01-01,medium,sylvestris,sylvestris_medium,942.6,9
2013-01-01,high,sylvestris,sylvestris_high,804.6000000000001,20
2014-01-01,medium,nigra,nigra_medium,728.2,11
2014-01-01,low,nigra,nigra_low,671.7,7
2014-01-01,high,nigra,nigra_high,741.3000000000001,11
2014-01-01,low2,pinaster,pinaster_low2,636,7
2014-01-01,low,pinaster,pinaster_low,675.7,7
2014-01-01,medium,pinaster,pinaster_medium,745.7,9
2014-01-01,high,pinaster,pinaster_high,731,9
2014-01-01,medium,halepensis,halepensis_medium,633.5000000000001,5
2014-01-01,low,halepensis,halepensis_low,285.6,11
2014-01-01,high,halepensis,halepensis_high,532.3,5
2014-01-01,low,sylvestris,sylvestris_low,994.7,9
2014-01-01,medium,sylvestris,sylvestris_medium,928.6000000000001,22
2014-01-01,high,sylvestris,sylvestris_high,751.4000000000001,20
2015-01-01,medium,nigra,nigra_medium,682.7,3
2015-01-01,low,nigra,nigra_low,675.4,5
2015-01-01,high,nigra,nigra_high,682.1,7
2015-01-01,low2,pinaster,pinaster_low2,596.8,5
2015-01-01,low,pinaster,pinaster_low,627.9,9
2015-01-01,medium,pinaster,pinaster_medium,683.4,5
2015-01-01,high,pinaster,pinaster_high,653.1,7
2015-01-01,medium,halepensis,halepensis_medium,592.7,8
2015-01-01,low,halepensis,halepensis_low,214.4,25
2015-01-01,high,halepensis,halepensis_high,456.1,11
2015-01-01,low,sylvestris,sylvestris_low,897.9,11
2015-01-01,medium,sylvestris,sylvestris_medium,845.6,15
2015-01-01,high,sylvestris,sylvestris_high,706.0000000000001,19
2016-01-01,medium,nigra,nigra_medium,689.8000000000001,9
2016-01-01,low,nigra,nigra_low,654.8000000000001,11
2016-01-01,high,nigra,nigra_high,665.9000000000001,11
2016-01-01,low2,pinaster,pinaster_low2,502.4000000000001,18
2016-01-01,low,pinaster,pinaster_low,614.2,5
2016-01-01,medium,pinaster,pinaster_medium,758.3000000000001,11
2016-01-01,high,pinaster,pinaster_high,754.8000000000001,9
2016-01-01,medium,halepensis,halepensis_medium,607.9,14
2016-01-01,low,halepensis,halepensis_low,166.8,29
2016-01-01,high,halepensis,halepensis_high,426.70000000000005,9
2016-01-01,low,sylvestris,sylvestris_low,920.4,17
2016-01-01,medium,sylvestris,sylvestris_medium,855.4000000000001,13
2016-01-01,high,sylvestris,sylvestris_high,664,22
2017-01-01,medium,nigra,nigra_medium,630.8000000000001,0
2017-01-01,low,nigra,nigra_low,623.3000000000001,7
2017-01-01,high,nigra,nigra_high,660.1,14
2017-01-01,low2,pinaster,pinaster_low2,499.90000000000003,3
2017-01-01,low,pinaster,pinaster_low,575.7,7
2017-01-01,medium,pinaster,pinaster_medium,687.6999999999999,3
2017-01-01,high,pinaster,pinaster_high,694.6999999999999,11
2017-01-01,medium,halepensis,halepensis_medium,655.5000000000001,3
2017-01-01,low,halepensis,halepensis_low,270.2,14
2017-01-01,high,halepensis,halepensis_high,457.80000000000007,5
2017-01-01,low,sylvestris,sylvestris_low,909.3,13
2017-01-01,medium,sylvestris,sylvestris_medium,839.2,11
2017-01-01,high,sylvestris,sylvestris_high,718.2,18
2018-01-01,medium,nigra,nigra_medium,741.3000000000001,14
2018-01-01,low,nigra,nigra_low,733.3000000000001,14
2018-01-01,high,nigra,nigra_high,743.7,22
2018-01-01,low2,pinaster,pinaster_low2,650.9000000000001,9
2018-01-01,low,pinaster,pinaster_low,697.2,9
2018-01-01,medium,pinaster,pinaster_medium,771.1,16
2018-01-01,high,pinaster,pinaster_high,781.4,31
2018-01-01,medium,halepensis,halepensis_medium,703.6,7
2018-01-01,low,halepensis,halepensis_low,298.70000000000005,0
2018-01-01,high,halepensis,halepensis_high,613.6,7
2018-01-01,low,sylvestris,sylvestris_low,965.5,7
2018-01-01,medium,sylvestris,sylvestris_medium,869.4000000000001,6
2018-01-01,high,sylvestris,sylvestris_high,779,31
2019-01-01,medium,nigra,nigra_medium,748.8000000000001,3
2019-01-01,low,nigra,nigra_low,739.2,5
2019-01-01,high,nigra,nigra_high,774.3,5
2019-01-01,low2,pinaster,pinaster_low2,628.3000000000001,3
2019-01-01,low,pinaster,pinaster_low,690.6999999999999,5
2019-01-01,medium,pinaster,pinaster_medium,784.1,3
2019-01-01,high,pinaster,pinaster_high,786.4,3
2019-01-01,medium,halepensis,halepensis_medium,630.5000000000001,3
2019-01-01,low,halepensis,halepensis_low,316,3
2019-01-01,high,halepensis,halepensis_high,545.2,5
2019-01-01,low,sylvestris,sylvestris_low,960.5,7
2019-01-01,medium,sylvestris,sylvestris_medium,903.5000000000001,7
2019-01-01,high,sylvestris,sylvestris_high,760.7,9
2020-01-01,medium,nigra,nigra_medium,739.3000000000001,5
2020-01-01,low,nigra,nigra_low,724.4000000000001,5
2020-01-01,high,nigra,nigra_high,768.6,16
2020-01-01,low2,pinaster,pinaster_low2,596.3000000000001,9
2020-01-01,low,pinaster,pinaster_low,655.7,7
2020-01-01,medium,pinaster,pinaster_medium,704.7,13
2020-01-01,high,pinaster,pinaster_high,766.8000000000001,11
2020-01-01,medium,halepensis,halepensis_medium,548.1,7
2020-01-01,low,halepensis,halepensis_low,248.3,9
2020-01-01,high,halepensis,halepensis_high,505.6,11
2020-01-01,low,sylvestris,sylvestris_low,910.8000000000001,14
2020-01-01,medium,sylvestris,sylvestris_medium,890.4000000000001,18
2020-01-01,high,sylvestris,sylvestris_high,739.4000000000001,20
2021-01-01,medium,nigra,nigra_medium,797.1,14
2021-01-01,low,nigra,nigra_low,795.3,7
2021-01-01,high,nigra,nigra_high,813.5,16
2021-01-01,low2,pinaster,pinaster_low2,631.8000000000001,7
2021-01-01,low,pinaster,pinaster_low,696.2,7
2021-01-01,medium,pinaster,pinaster_medium,845.2,7
2021-01-01,high,pinaster,pinaster_high,793.4,14
2021-01-01,medium,halepensis,halepensis_medium,622.9,5
2021-01-01,low,halepensis,halepensis_low,278.1,16
2021-01-01,high,halepensis,halepensis_high,457.40000000000003,11
2021-01-01,low,sylvestris,sylvestris_low,988.1000000000001,7
2021-01-01,medium,sylvestris,sylvestris_medium,906.1,3
2021-01-01,high,sylvestris,sylvestris_high,796.7,9
