"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"14",1978,63126.9572159549,35474.5124374271,13737.0205264612,225359.559037753,115738.826355186,45862.3780519761,248.338557438598,139.555106614922,54.0408093704786,886.554180094226,455.311240146686,180.420494008109
"15",1979,70146.8836993771,40893.2005293855,15679.585983868,295506.442737131,156632.026884571,61541.9640358442,275.954626596727,160.871977303988,61.6827728785905,1162.50880669095,616.183217450674,242.1032668867
"16",1980,66877.8898610622,40059.3236559085,15249.0610229228,362384.332598193,196691.35054048,76791.025058767,263.094554610276,157.591543888953,59.9891074073292,1425.60336130123,773.774761339627,302.092374294029
"17",1981,63390.2135567444,38933.6641299183,14720.5820814537,425774.546154937,235625.014670398,91511.6071402207,249.37419582181,153.163250887358,57.9100954645845,1674.97755712304,926.938012226984,360.002469758613
"18",1982,57010.5673318448,35523.6730033752,13380.2333551685,482785.113486782,271148.687673773,104891.840495389,224.276959865382,139.748502029003,52.6372249853115,1899.25451698842,1066.68651425599,412.639694743925
"19",1983,67454.5592320774,42933.7162620061,16079.0567957716,550239.672718859,314082.403935779,120970.897291161,265.363145494944,168.899272707063,63.2542727503108,2164.61766248337,1235.58578696305,475.893967494236
"20",1984,67371.7750628672,43343.6820958987,16186.1252537721,617611.447781726,357426.086031678,137157.022544933,265.037476366142,170.512059514444,63.6754751585947,2429.65513884951,1406.09784647749,539.569442652831
"21",1985,81523.4503964007,53263.0158568222,19807.910391934,699134.898178127,410689.1018885,156964.932936867,320.709518749659,209.534264061904,77.9234119550221,2750.36465759917,1615.6321105394,617.492854607853
"22",1986,69111.8022917802,46004.8958694203,17023.0017968593,768246.700469907,456693.997757921,173987.934733726,271.882663762929,180.981152572284,66.9677091364423,3022.2473213621,1796.61326311168,684.460563744295
"23",1987,56604.2166377062,37910.3560423557,14005.2608714406,824850.917107614,494604.353800276,187993.195605167,222.67839485216,149.137603755163,55.0960545978247,3244.92571621426,1945.75086686685,739.55661834212
"24",1988,59360.3895211987,40202.2626500853,14807.3671433011,884211.306628812,534806.616450362,202800.562748468,233.521052697942,158.153859343096,58.2515039217142,3478.4467689122,2103.90472620994,797.808122263834
"25",1989,57870.2035611575,39477.3839727851,14511.9284196741,942081.51018997,574284.000423147,217312.491168142,227.658729406074,155.302219837918,57.0892615188997,3706.10549831827,2259.20694604786,854.897383782734
