"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"11",1969,24695.2506564926,16549.996656429,6975.79561443261,120793.636444216,81451.6269149442,35672.7221733428,96.8669171665015,64.9172254828966,27.3625008044222,473.812043394103,319.493335264946,139.925958717099
"12",1970,26990.9133299612,18056.2452723766,7528.72916735177,147784.549774177,99507.8721873208,43201.4513406945,105.871635082764,70.8254732647345,29.5313781085737,579.683678476867,390.31880852968,169.457336825673
"13",1971,30424.3470979333,20331.019118703,8421.82816367658,178208.89687211,119838.891306024,51623.2795043711,119.339250739922,79.7482549286934,33.0345515609046,699.022929216788,470.067063458374,202.491888386578
"14",1972,27616.9097770693,18433.5484182511,7582.23970539222,205825.80664918,138272.439724275,59205.5192097633,108.327100987201,72.3054417447661,29.7412727530136,807.350030203989,542.37250520314,232.233161139591
"15",1973,29077.4132942663,19384.4278979546,7913.90243073118,234903.219943446,157656.867622229,67119.4216404945,114.055913996212,76.0352586669338,31.0422170596542,921.405944200201,618.407763870074,263.275378199246
"16",1974,28950.692952864,19285.3910733732,7837.5061587675,263853.91289631,176942.258695603,74956.927799262,113.558854501467,75.6467875387562,30.7425533125203,1034.96479870167,694.05455140883,294.017931511766
"17",1975,28126.2814965064,18722.1000269221,7574.10496892341,291980.194392816,195664.358722525,82531.0327681854,110.325107358547,73.4372830515902,29.7093643162597,1145.28990606022,767.49183446042,323.727295828025
"18",1976,28079.3270239591,18683.9156049984,7541.70160639479,320059.521416775,214348.274327523,90072.7343745802,110.14092882697,73.2875049713031,29.5822623938035,1255.43083488719,840.779339431723,353.309558221829
"19",1977,33995.9342519637,22603.702859942,9082.29963088508,354055.455668739,236951.977187465,99155.0340054653,133.348771915259,88.6628381726732,35.6252454475488,1388.77960680244,929.442177604396,388.934803669378
"20",1978,48092.9269284823,31945.5561252287,12760.2186459406,402148.382597221,268897.533312694,111915.252651406,188.644109504153,125.30618061197,50.0518524713903,1577.4237163066,1054.74835821637,438.986656140768
"21",1979,46200.1166636815,30665.0812076043,12192.975219012,448348.499260903,299562.614520298,124108.227870418,181.219576840656,120.283528301021,47.8268448043762,1758.64329314725,1175.03188651739,486.813500945144
"22",1980,34138.2972864202,22643.7616396834,8966.66521626434,482486.796547323,322206.376159982,133074.893086682,133.907189744586,88.8199684060522,35.171670409236,1892.55048289184,1263.85185492344,521.98517135438
"23",1981,18263.9164011773,12108.5114448846,4780.75480091777,500750.7129485,334314.887604866,137855.6478876,71.6400615558689,47.495536346496,18.752471304522,1964.19054444771,1311.34739126994,540.737642658902
"24",1982,20278.2302803391,13444.1270086788,5308.48012912117,521028.943228839,347759.014613545,143164.128016721,79.5411911452868,52.7344773875874,20.8224695549873,2043.731735593,1364.08186865752,561.56011221389
"25",1983,15703.9284792728,10408.0731597115,4101.62938791303,536732.871708112,358167.087773257,147265.757404634,61.5985300311354,40.8255811875955,16.0886074692342,2105.33026562413,1404.90744984512,577.648719683124
"26",1984,25656.2660072374,17001.6358498212,6693.85254104993,562389.13771535,375168.723623078,153959.609945684,100.636491959291,66.6887764966527,26.2565814228002,2205.96675758342,1471.59622634177,603.905301105924
"27",1985,28033.8468649429,18564.9808386357,7280.40344513563,590422.984580292,393733.704461713,161240.01339082,109.962533278068,72.8209843304834,28.5573225098346,2315.92929086149,1544.41721067226,632.462623615759
"28",1986,16544.2912670988,10951.8929918706,4284.66033041351,606967.275847391,404685.597453584,165524.673721233,64.8948461402715,42.9587099971792,16.8065448326859,2380.82413700176,1587.37592066943,649.269168448444
