"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"12",1988,20215.9416732228,11578.6627626463,5503.44029905249,79391.5966192339,46668.6587553288,20979.0579783595,66.1818273809313,37.9055832592989,18.0168572783129,259.907800877279,152.78126380508,68.6800751694589
"13",1989,36998.4244819057,20927.0827245802,10223.7156421319,116766.771699614,67831.3728301584,31295.1838534372,121.123387770319,68.5099214695075,33.4698326081702,382.264573838202,222.062582105851,102.452435267266
"14",1990,62205.9395125794,34716.9109020226,17466.7698420316,178972.711212193,102548.283732181,48761.9536954687,203.64635085702,113.654295291135,57.1817412848474,585.910924695223,335.716877396987,159.634176552114
"15",1991,41763.9379257856,23089.2436911954,11861.1720330831,221113.399736453,125873.158773626,60715.5359614976,136.724461082779,75.5882839903025,38.8304464228252,723.868770968606,412.076558218553,198.767150464576
"16",1992,53339.1890165377,29245.7477341743,15298.4249513323,274452.588752991,155118.9065078,76013.9609128299,174.61887540006,95.743105092805,50.0831341767419,898.487646368666,507.819663311358,248.850284641318
"17",1993,33765.4190173302,18417.9297218258,9744.26805931525,308218.007770321,173536.836229626,85758.2289721452,110.539353989614,60.2955956871673,31.9002437323671,1009.02700035828,568.115258998526,280.750528373685
"18",1994,34073.3616042362,18518.8828649098,9875.60428249219,342291.369374557,192055.719094536,95633.8332546373,111.547479332439,60.6260904816788,32.3302049674984,1120.57447969072,628.741349480204,313.080733341183
"19",1995,21272.1417334906,11531.4696105431,6184.39090991274,363563.511108048,203587.188705079,101818.22416455,69.6395564938404,37.7510849382935,20.2461155790819,1190.21403618456,666.492434418498,333.326848920265
"20",1996,66886.8772076609,36114.9623078807,19538.6909541669,430450.388315709,239702.151012959,121356.915118717,218.970544779044,118.231158358302,63.964681580519,1409.1845809636,784.7235927768,397.291530500784
"21",1997,78203.1087734357,41967.4893417946,23011.8878605625,508653.497089144,281669.640354754,144368.80297928,256.01699535724,137.390836406531,75.3350407670774,1665.20157632084,922.114429183331,472.626571267862
"22",1998,30900.2352684685,16515.7415117192,9136.60534478914,539553.732357613,298185.381866473,153505.408324069,101.1594745189,54.0683175419168,29.9109112773837,1766.36105083974,976.182746725248,502.537482545245
"23",1999,17947.1731872978,9573.56311873024,5319.17508722917,557500.905544911,307758.944985203,158824.583411298,58.7544590826902,31.3413993760919,17.4136200589775,1825.11550992243,1007.52414610134,519.951102604223
"24",2000,31378.9172391043,16714.7584572651,9315.89390835905,588879.822784015,324473.703442469,168140.477319657,102.726556976055,54.7198481680389,30.4978562219902,1927.84206689849,1062.24399426938,550.448958826213
"25",2001,30586.3943258942,16260.2906170778,9102.12498831764,619466.217109909,340733.994059546,177242.602307975,100.132039466788,53.2320365866819,29.7980314008527,2027.97410636528,1115.47603085606,580.246990227066
"26",2002,37128.302922919,19691.6401163219,11080.194610202,656594.520032828,360425.634175868,188322.796918177,121.548576599144,64.4653980552409,36.2737258987456,2149.52268296442,1179.9414289113,616.520716125811
"27",2003,29893.4937423233,15815.6067309275,8947.31917212871,686488.013775152,376241.240906796,197270.116090305,97.8636600088686,51.7762551708071,29.2912367152433,2247.38634297329,1231.71768408211,645.811952841055
"28",2004,54958.3311283189,29015.9521258437,16490.7929971794,741446.34490347,405257.193032639,213760.909087485,179.919532944449,94.9908129894113,53.9866424802566,2427.30587591774,1326.70849707152,699.798595321311
"29",2005,16653.5802522159,8776.54461922294,5007.94803748632,758099.925155686,414033.737651862,218768.857124971,54.5195663572042,28.7321644660175,16.3947422240834,2481.82544227494,1355.44066153754,716.193337545395
"30",2006,15183.1423585536,7996.13268686778,4569.59748865,773283.06751424,422029.87033873,223338.454613621,49.7057284254475,26.1772952134236,14.9596945362555,2531.53117070039,1381.61795675096,731.15303208165
"31",2007,24785.6273302206,13043.971042924,7465.96498852996,798068.694844461,435073.841381654,230804.419602151,81.1418105578285,42.7026281475732,24.4416616396082,2612.67298125822,1424.32058489853,755.594693721258
"32",2008,31714.9876922957,16662.6983240299,9572.49948050758,829783.682536756,451736.539705684,240376.919082658,103.826765765756,54.5494165944375,31.337917296336,2716.49974702398,1478.87000149297,786.932611017594
