"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"17",1979,77151.296850213,46920.1415489691,17788.9067174613,385234.188076838,213190.157798454,82806.1911016807,154.268690426436,93.8196645668245,35.5699962989439,770.299089300936,426.286631567906,165.575993949378
"18",1980,82360.1547949121,51298.9792186897,19325.4563837183,467594.34287175,264489.137017144,102131.647485399,164.684117341504,102.575415675056,38.6424204119027,934.98320664244,528.862047242961,204.21841436128
"19",1981,69101.7811995134,43854.9100301204,16437.74496544,536696.124071263,308344.047047264,118569.392450839,138.173196394607,87.6905485108146,32.8682665478121,1073.15640303705,616.552595753776,237.086680909092
"20",1982,80300.5971336631,51899.1669589853,19358.7781299028,616996.721204926,360243.21400625,137928.170580742,160.565907068571,103.775527409861,38.7090492614032,1233.72231010562,720.328123163637,275.795730170496
"21",1983,59298.7998715302,38936.8724797594,14461.7761231524,676295.521076457,399180.086486009,152389.946703894,118.571541549078,77.8566345866556,28.9171971806312,1352.2938516547,798.184757750293,304.712927351127
"22",1984,80016.0823961673,53154.3248099996,19681.4626872793,756311.603472624,452334.411296009,172071.409391173,159.997002620397,106.285291546819,39.3542765760388,1512.29085427509,904.470049297112,344.067203927166
"23",1985,66404.2472240148,44719.3998937079,16497.1805789249,822715.850696639,497053.811189717,188568.589970098,132.779313844726,89.4191483475938,32.9871116564667,1645.07016811982,993.889197644706,377.054315583632
"24",1986,55191.2288736296,37556.5825843078,13816.3566690213,877907.079570268,534610.393774024,202384.94663912,110.358204579384,75.0966613486999,27.6266418947253,1755.4283726992,1068.98585899341,404.680957478358
"25",1987,50975.0153601904,34954.3495516386,12832.6652706233,928882.094930459,569564.743325663,215217.611909743,101.927630320349,69.8933388055459,25.6596913701055,1857.35600301955,1138.87919779895,430.340648848463
"26",1988,59720.3452040138,41178.9390422157,15095.4712718179,988602.440134473,610743.682367879,230313.083181561,119.414446970667,82.3397824605087,30.184309007721,1976.77044999022,1221.21898025946,460.524957856184
"27",1989,61669.7765781882,42650.8790576314,15622.7613207879,1050272.21671266,653394.56142551,245935.844502349,123.312453063214,85.283015663773,31.23865739395,2100.08290305343,1306.50199592323,491.763615250134
"28",1990,66488.1880581022,46335.4605124627,16937.3019664091,1116760.40477076,699730.021937973,262873.146468758,132.947158626041,92.6505594253499,33.8671610250169,2233.03006167947,1399.15255534858,525.630776275151
"29",1991,49109.5014943695,34484.9043290973,12580.0165904388,1165869.90626513,734214.92626707,275453.163059197,98.1974223678988,68.9546546529127,25.1545050333717,2331.22748404737,1468.1072100015,550.785281308523
"30",1992,44248.2305304788,31236.4606492638,11378.986809847,1210118.13679561,765451.386916334,286832.149869044,88.4770166712392,62.4591947854669,22.7529732512843,2419.70450071861,1530.56640478696,573.538254559807
"31",1993,35773.8538673376,25276.102688726,9205.50910035939,1245891.99066295,790727.48960506,296037.658969403,71.5319873149436,50.541098076994,18.4069729427648,2491.23648803356,1581.10750286396,591.945227502572
