"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"34",1993,14983.0121856224,12131.6222068796,4363.24212348114,808992.512666118,637341.197825241,247422.53534568,32.4350382607705,26.2623847308183,9.44549223232432,1751.29692053391,1379.70829099799,535.617224433343
"35",1994,6794.20908562817,5502.23627190519,1977.79804077637,815786.721751746,642843.434097146,249400.333386457,14.70801924966,11.9111725858635,4.28151257770562,1766.00493978357,1391.61946358385,539.898737011048
"36",1995,6212.56420674879,5064.67253057812,1788.18826243637,821999.285958495,647908.106627724,251188.521648893,13.4488816565706,10.963940045728,3.87104768994589,1779.45382144014,1402.58340362958,543.769784700994
"37",1996,22595.5906439374,18368.6812396602,6535.35076592594,844594.876602432,666276.787867385,257723.872414819,48.9146533408079,39.7642924818544,14.147645981612,1828.36847478095,1442.34769611143,557.917430682606
"38",1997,26707.9967899307,21657.5507640088,7757.54257384086,871302.873392363,687934.338631394,265481.41498866,57.8171389716425,46.8839962860932,16.7934315927164,1886.18561375259,1489.23169239753,574.710862275323
"39",1998,38850.1932966946,31526.4486752331,11270.0896000484,910153.066689058,719460.787306627,276751.504588708,84.1024148152142,68.2480636295985,24.3973496684904,1970.2880285678,1557.47975602712,599.108211943813
"40",1999,13205.9890917753,10718.9568608673,3829.18980617203,923359.055780833,730179.744167494,280580.69439488,28.5881607887953,23.2042643755842,8.28938242405784,1998.8761893566,1580.68402040271,607.397594367871
"41",2000,36832.7300615715,29925.2077864911,10663.2307105019,960191.785842404,760104.951953985,291243.925105382,79.735035518566,64.781717286979,23.0836290989899,2078.61122487516,1645.46573768969,630.481223466861
"42",2001,29166.4429102039,23765.9085313575,8401.75421222777,989358.228752608,783870.860485343,299645.67931761,63.1391525284105,51.4481429345868,18.1880129279144,2141.75037740357,1696.91388062427,648.669236394775
"43",2002,35349.7337413149,28847.7713706545,10155.8695824963,1024707.96249392,812718.631855997,309801.548900106,76.5246635458151,62.4492963466327,21.9853000450576,2218.27504094939,1759.36317697091,670.654536439833
"44",2003,37942.3650849289,30974.4415236457,10894.1483509916,1062650.32757885,843693.073379643,320695.697251098,82.1371596036432,67.0530854196003,23.583516732503,2300.41220055303,1826.41626239051,694.238053172336
"45",2004,42537.7598071445,34720.1757567869,12216.7026133008,1105188.087386,878413.24913643,332912.399864399,92.0852128917153,75.1618042580725,26.4465657355006,2392.49741344475,1901.57806664858,720.684618907836
"46",2005,10426.05449552,8513.92502750925,2991.88213550522,1115614.14188152,886927.174163939,335904.281999904,22.5701929813269,18.4308389124576,6.47678920197026,2415.06760642607,1920.00890556104,727.161408109807
"47",2006,23059.9249127808,18858.9557621785,6600.49636556982,1138674.0667943,905786.129926117,342504.778365474,49.9198383856532,40.8256326649334,14.2886723647446,2464.98744481173,1960.83453822597,741.450080474551
"48",2007,20725.1779178493,16952.7704653433,5930.14791264562,1159399.24471215,922738.900391461,348434.926278119,44.8656071555345,36.6991464638278,12.837510378805,2509.85305196726,1997.5336846898,754.287590853356
"49",2008,11704.7248088232,9590.16828308344,3339.40458653646,1171103.96952097,932329.068674544,351774.330864656,25.3382425578132,20.7606769143209,7.22910147776828,2535.19129452508,2018.29436160412,761.516692331125
"50",2009,24519.6385838073,20149.5021876261,6961.00807409576,1195623.60810478,952478.57086217,358735.338938752,53.0798083691887,43.619391501148,15.0691036234681,2588.27110289426,2061.91375310527,776.585795954593
"51",2010,31895.0023224992,26181.5628600724,9071.38657032191,1227518.61042728,978660.133722243,367806.725509074,69.0459039771952,56.6775213536907,19.6376247206803,2657.31700687146,2118.59127445896,796.223420675273
"52",2011,40193.2254894099,33009.3668402377,11421.4350645989,1267711.83591669,1011669.50056248,379228.160573672,87.0097941870316,71.4582664128326,24.7249804460987,2744.32680105849,2190.04954087179,820.948401121372
