"","year","tree","Growth","age1","dapcc","dapsc","RWcorr","BAI","BAIserror"
"23",1981,20.8974358974359,0.236923076923077,19.6666666666667,17.6474358974359,107.765158687913,0.293921009106716,0.892150361885417,0.155078202063816
"24",1982,20.8974358974359,0.293846153846154,20.6666666666667,17.6474358974359,108.352110131698,0.360642091312103,1.08594905697729,0.16586159640514
"25",1983,20.8974358974359,0.456923076923077,21.6666666666667,17.6474358974359,109.261732998991,0.552610890140894,1.62465472986698,0.190608793398182
"26",1984,20.8974358974359,0.553589743589744,22.6666666666667,17.6474358974359,110.364071055059,0.671802293264067,1.99371354975386,0.201706439540797
"27",1985,20.8974358974359,0.411025641025641,23.6666666666667,17.6474358974359,111.179632755619,0.496766490735832,1.54015683542307,0.241175488261692
"28",1986,20.8974358974359,0.236410256410256,24.6666666666667,17.6474358974359,111.651778798468,0.291375444119673,0.921059597028004,0.158384511588887
"29",1987,20.8974358974359,0.313333333333333,25.6666666666667,17.6474358974359,112.276006545962,0.380514803337952,1.18709141132873,0.160767820089544
"30",1988,20.8974358974359,0.472820512820513,26.6666666666667,17.6474358974359,113.216143587403,0.5706125482145,1.75095782755906,0.191344070008896
"31",1989,20.8974358974359,0.825128205128205,27.6666666666667,17.6474358974359,114.855322887146,1.00871983765871,3.07722090159672,0.40858904924162
"32",1990,20.8974358974359,1.44589743589744,28.6666666666667,17.6474358974359,117.736572237641,1.74292103360332,5.48366633230463,0.493665159915547
"33",1991,20.8974358974359,0.538717948717949,29.6666666666667,17.6474358974359,118.812805261793,0.654709612739144,2.13222895887513,0.241404494054
"34",1992,20.8974358974359,0.806923076923077,30.6666666666667,17.6474358974359,120.422509163714,0.977689387420076,3.18183193049459,0.295480067480488
"35",1993,20.8974358974359,0.712820512820513,31.6666666666667,17.6474358974359,121.845457368093,0.866379171069276,2.853193359197,0.260910233036183
"36",1994,20.8974358974359,0.331282051282051,32.6666666666667,17.6474358974359,122.50704205067,0.401507756957606,1.37779349137442,0.177146900926243
"37",1995,20.8974358974359,0.18974358974359,33.6666666666667,17.6474358974359,122.885892310462,0.231733412054668,0.812733212925072,0.125959925800906
"38",1996,20.8974358974359,0.640769230769231,34.6666666666667,17.6474358974359,124.165552528929,0.782718436731499,2.59341142949693,0.226615126285542
"39",1997,20.8974358974359,1.26051282051282,35.6666666666667,17.6474358974359,126.684158925735,1.53477619800309,5.18744760891357,0.442169891790795
"40",1998,20.8974358974359,1.01641025641026,36.6666666666667,17.6474358974359,128.715090883735,1.24366939334583,4.29323579858707,0.376794849103755
"41",1999,20.8974358974359,0.22974358974359,37.6666666666667,17.6474358974359,129.173556520788,0.281606270518671,1.01671040375973,0.141488925358096
"42",2000,20.8974358974359,0.464102564102564,38.6666666666667,17.6474358974359,130.100539319618,0.570253794733131,2.03823921333865,0.249640985840469
"43",2001,20.8974358974359,0.513589743589744,39.6666666666667,17.6474358974359,131.126187174098,0.62627995849349,2.30144034093742,0.310082365079381
"44",2002,20.8974358974359,0.895641025641026,40.6666666666667,17.6474358974359,132.915588452996,1.09420016968646,3.96185131231266,0.40002885699623
"45",2003,20.8974358974359,0.887435897435897,41.6666666666667,17.6474358974359,134.688832915483,1.08450808016577,3.93388882678553,0.365835933077293
"46",2004,20.8974358974359,1.10641025641026,42.6666666666667,17.6474358974359,136.899543025318,1.35051157090082,4.98183540603039,0.452646073779683
