year,RW,tree,core,sp_elev,sampleid
1973,1.37,2,C,sylvestris_med,PM02C
1973,2.3,3,A,sylvestris_med,PM03A
1973,2.12,3,B,sylvestris_med,PM03B
1973,3.22,5,A,sylvestris_med,PM05A
1973,3.37,5,B,sylvestris_med,PM05B
1973,5.69,7,A,sylvestris_med,PM07A
1973,4.43,7,B,sylvestris_med,PM07B
1973,5.69,8,01,sylvestris_med,PM0801
1973,4.37,8,02,sylvestris_med,PM0802
1973,3.6,9,C,sylvestris_med,PM09C
1973,3.61,9,E,sylvestris_med,PM09E
1973,3.51,10,A,sylvestris_med,PM10A
1973,3.1,10,C,sylvestris_med,PM10C
1973,4.49,11,A,sylvestris_med,PM11A
1973,4.69,11,C,sylvestris_med,PM11C
1973,4.31,12,A,sylvestris_med,PM12A
1973,4.77,12,C,sylvestris_med,PM12C
1973,3.58,13,A,sylvestris_med,PM13A
1973,3.26,13,B,sylvestris_med,PM13B
1973,6.16,14,01,sylvestris_med,PM1401
1973,5.83,14,02,sylvestris_med,PM1402
1973,3.43,15,A,sylvestris_med,PM15A
1973,5.68,15,B,sylvestris_med,PM15B
1973,4.44,15,C,sylvestris_med,PM15C
1973,3.65,16,01,sylvestris_med,PM1601
1973,3.11,16,02,sylvestris_med,PM1602
1973,1.44,17,A,sylvestris_med,PM17A
1973,3.18,17,B,sylvestris_med,PM17B
1973,4.28,19,A,sylvestris_med,PM19A
1973,3.57,19,B,sylvestris_med,PM19B
1973,2.3,20,A,sylvestris_med,PM20A
1973,2.48,20,B,sylvestris_med,PM20B
1973,4.3,21,01,sylvestris_med,PM2101
1973,4.79,21,02,sylvestris_med,PM2102
1973,3.61,23,B,sylvestris_med,PM23B
1973,5,23,C,sylvestris_med,PM23C
1973,2.46,24,01,sylvestris_med,PM2401
1973,5.28,26,A,sylvestris_med,PM26A
1973,5.24,26,B,sylvestris_med,PM26B
1973,2.37,27,A,sylvestris_med,PM27A
1973,2.97,27,B,sylvestris_med,PM27B
1973,4.69,28,A,sylvestris_med,PM28A
1973,6.6,28,B,sylvestris_med,PM28B
1973,3.27,29,A,sylvestris_med,PM29A
1973,3.76,29,B,sylvestris_med,PM29B
1973,3.79,31,A,sylvestris_med,PM31A
1973,2.03,31,B,sylvestris_med,PM31B
1973,5.06,32,A,sylvestris_med,PM32A
1973,5.42,32,B,sylvestris_med,PM32B
1973,1.12,33,A,sylvestris_med,PM33A
1973,1.33,33,C,sylvestris_med,PM33C
1973,7.11,35,01,sylvestris_med,PM3501
1973,1.86,36,A,sylvestris_med,PM36A
1973,2.34,36,B,sylvestris_med,PM36B
1973,4.26,37,A,sylvestris_med,PM37A
1973,5.32,37,B,sylvestris_med,PM37B
1973,3.83,38,01,sylvestris_med,PM3801
