Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2115.235	5	4240.629	4240.469	1.047042	0.4078613	
Model:	mtabi5
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	700	665	700	274.8591	0	700	57.32012	
Asym	0.0262769	0.01786829	0.0353105	0.01518651	0	0.2	0.04685548	
R0	9.999946	9.429949	10	3.924227	0.5	10	8.482143	
lrc	-1.006203	-1.032708	-0.9789299	0.1342331	-2	0	0.04959682	
scale	49.08703	43.31659	55.68746	3.813362	1	100	18.16796	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	Asym	R0	lrc	scale
MA	75547.55	-0.695359	-361.6407	21.11582	-108.8394	
Asym	-0.695359	0.0002306302	0.04306904	0.001149578	0.002178674	
R0	-361.6407	0.04306904	15.39956	0.2993662	-1.578921	
lrc	21.11582	0.001149578	0.2993662	0.01801853	-0.09510028	
scale	-108.8394	0.002178674	-1.578921	-0.09510028	14.54173	

Source data
abi	tmed	predicted	
97.40811	10.95966	145.3865	
93.63956	10.59436	163.5314	
37.00859	12.53905	89.67954	
41.28021	12.21697	98.58786	
105.2626	10.68292	158.9076	
120.2243	11.53532	121.2843	
112.5373	11.98963	105.5383	
37.01855	12.18565	99.51145	
102.7292	12.06482	103.1753	
77.3811	12.07944	102.7232	
92.74221	11.90305	108.3409	
95.69952	11.48727	123.1078	
98.86283	11.36707	127.8121	
24.59399	11.44162	124.87	
61.35203	11.5831	119.5026	
76.37574	11.09165	139.4036	
39.04932	10.91769	147.35	
122.589	12.02929	104.2838	
180.0251	11.21354	134.1294	
184.5336	11.43551	125.1082	
39.15045	11.72606	114.3535	
85.41198	10.77581	154.2155	
47.15722	11.70423	115.1223	
60.86518	12.07968	102.7158	
27.31166	11.67049	116.3229	
61.36126	12.4234	92.75817	
69.44927	10.83334	151.3885	
44.13601	11.95002	106.8094	
101.6387	12.1936	99.27602	
88.20707	12.11509	101.6314	
93.7106	10.96018	145.3622	
68.5239	10.63989	161.1355	
72.72496	10.24435	183.3447	
21.40747	12.26096	97.30846	
23.06867	11.89945	108.4594	
74.2516	10.32175	178.7426	
113.2315	11.19622	134.8648	
78.64091	11.70108	115.2339	
16.90564	11.91019	108.1062	
55.49529	11.74848	113.5703	
59.65689	11.77294	112.723	
54.59781	11.61888	118.1886	
66.19441	11.17159	135.9183	
50.5653	11.03588	141.8964	
12.50828	11.13217	137.6243	
31.92204	11.23782	133.1067	
26.61884	10.76736	154.6358	
14.34555	10.55713	165.5208	
60.92409	11.71132	114.872	
105.2597	10.87116	149.5624	
107.3687	11.06629	140.5308	
15.94044	11.36616	127.8483	
36.51335	10.40011	174.2139	
17.60597	11.3142	129.9478	
34.33305	11.72756	114.3008	
14.76383	11.268	131.8479	
39.97349	12.07103	102.983	
279.7229	10.46351	170.6438	
304.4873	10.14365	189.5306	
261.2084	9.746558	216.2704	
136.0704	11.83071	110.7514	
50.45262	11.41203	126.0283	
113.4599	9.813829	211.4631	
316.3771	10.70069	157.9974	
336.4318	11.29491	130.7371	
64.17238	11.50524	122.4219	
168.9007	11.31679	129.8422	
226.6871	11.36243	127.9979	
185.4805	11.21471	134.0798	
225.7345	10.70226	157.9175	
221.4672	10.55819	165.4637	
58.00672	10.65748	160.2207	
132.7999	10.74932	155.5375	
101.1954	10.27977	181.2228	
106.4861	10.04482	195.8275	
182.1729	11.26267	132.0692	
276.3473	10.39393	174.5664	
217.5544	10.56176	165.2715	
64.60583	10.91	147.7129	
177.6238	9.910485	204.7596	
82.63091	10.81058	152.4999	
149.2773	11.25379	132.4387	
67.17191	10.75417	155.2946	
119.0722	11.60485	118.7015	
133.7165	9.91548	204.4195	
83.13197	11.08597	139.6551	
186.6667	11.4141	125.9465	
98.19742	10.84629	150.7606	
88.47702	10.67226	159.4562	
71.53199	10.26899	181.8654	
56.13742	12.37525	94.07888	
15.84824	11.9421	107.0658	
66.86317	10.08702	193.1109	
63.93504	11.1431	137.1489	
128.0662	11.76322	113.0588	
73.60438	11.98714	105.6177	
148.2792	11.66356	116.5717	
155.1424	11.99493	105.3695	
117.243	11.90282	108.3484	
125.8112	11.21308	134.1489	
140.2097	10.82874	151.6127	
68.25116	10.92854	146.8394	
79.28423	11.12806	137.8036	
71.36199	10.84717	150.7181	
92.12562	10.35224	176.9648	
84.19531	11.56453	120.1914	
106.2251	10.65089	160.5625	
148.5317	10.90389	148.0021	
69.85955	11.18644	135.2818	
165.8586	10.31331	179.2382	
102.4456	11.10675	138.7373	
91.96801	11.68766	115.7104	
71.31115	11.13128	137.6632	
86.31931	11.82421	110.9712	
94.28434	10.1593	188.5546	

Likelihood History
Iteration	Temperature	Likelihood
0	5	-3583.4	
0.4	5	-3376	
0.6	5	-3046.932	
1.2	5	-3020.628	
1.4	5	-2920.691	
1.6	5	-2871.228	
3	5	-2554.466	
5	5	-2195.776	
7.2	5	-2194.005	
8	5	-2190.389	
8.6	5	-2160.561	
12.8	5	-2159.027	
13.2	5	-2156.177	
14	5	-2150.265	
14.4	5	-2145.866	
14.6	5	-2141.605	
16	5	-2141.252	
16.4	5	-2134.483	
