Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
0.09849051	12.7014	207.7	0.08544243	
0.5828131	11.36156	368.2	0.1593407	
0.3738774	11.2134	349.9	0.1623608	
0.5811849	10.68792	390.2	0.2098205	
0.5059657	10.54402	373.1	0.2193231	
0.07626182	10.63039	163	0.1087137	
0.2310098	10.73044	373.2	0.2016572	
0.1078383	10.28368	333.4	0.2343157	
0.1626592	9.905245	376.8	0.3021847	
0.29091	11.18799	612.7	0.196734	
0.4185128	10.32817	799.9	0.2843391	
0.478777	10.55143	353.3	0.2125717	
0.2128957	10.89882	371.2	0.18751	
0.4040281	9.824873	454	0.3395506	
0.197504	10.75392	385.2	0.2026639	
0.2710632	11.31034	295.9	0.1424511	
0.1525367	10.71864	444.8	0.218343	
0.1960562	11.61003	231.9	0.1094934	
0.3262517	10.01994	506.9	0.3185412	
0.138568	11.08017	279.3	0.14765	
0.2202332	11.42356	318.8	0.1445975	
0.1085746	12.07944	359	0.1352796	
0.1229677	11.90305	336.2	0.1342186	
0.1445175	11.48727	350.7	0.1501393	
0.127417	11.36707	340.7	0.152694	
0.04128587	11.44162	143.3	0.06969403	
0.09253699	11.5831	355.1	0.1475984	
0.09946053	11.09165	322.9	0.1616389	
0.0596355	10.91769	297.7	0.163901	
0.1932361	12.02929	458.8	0.1513143	
0.2550653	11.21354	572.6	0.1932139	
0.237985	11.43551	302.1	0.1393446	
0.07283805	11.72606	288.3	0.1260728	
0.1092085	10.77581	335.8	0.1870234	
0.06899374	11.70423	270.5	0.1210726	
0.09069465	12.07968	228.8	0.09926718	
0.04204381	11.67049	323.4	0.1372945	
0.1004605	12.4234	201.1	0.08480953	
0.0970911	10.83334	452.6	0.2092398	
0.06027039	11.95002	256.5	0.111118	
0.1406959	12.1936	322.7	0.1255242	
0.1143764	12.11509	203.9	0.08905907	
0.07969127	11.77294	358.8	0.1424264	
0.0690587	11.61888	335.6	0.1419157	
0.09859162	11.17159	351.5	0.165007	
0.06142529	11.03588	346.2	0.1716121	
0.01988913	11.13217	144.3	0.07724592	
0.0460038	11.23782	355.8	0.1625345	
0.03301357	10.76736	320.7	0.1827068	
0.02011435	10.55713	299.2	0.1921219	
0.09045893	11.71132	459.5	0.160259	
0.1403275	10.87116	584.4	0.2195918	
0.1341438	11.06629	311.1	0.1594311	
0.02887239	11.36616	293.3	0.1393186	
0.04479617	10.40011	332.7	0.2210059	
0.02434118	11.3142	276.5	0.1357963	
0.05118988	11.72756	233.4	0.107302	
0.02165737	11.268	330.6	0.1545987	
0.06356096	12.07103	202	0.08882353	
0.3170893	11.36243	360.9	0.1576918	
0.2377955	11.21471	337.3	0.1590431	
