Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7322	4	475.6257	475.4644	0.9974038	0.4611436	
Model:	mtrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5582118	0.1953741	0.9231953	0.6027942	0	1.2	1.2	
b	0.1977159	0	0.2	0.3167616	0	0.2	0.2	
k	-1.699626	-2.5	-0.254345	3.271189	-2.5	2	2.4	
t0	9.920275	0	11.12984	2.012828	0	20	17.6	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0
MR	0.3633609	-0.1561378	1.229083	-1.0702	
b	-0.1561378	0.1003379	-0.795169	0.411755	
k	1.229083	-0.795169	10.70068	-4.241304	
t0	-1.0702	0.411755	-4.241304	4.051478	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2009	halepensis	high	halepensis_high	0.09358744	358.1	13.48725	P. halepensis	0.1114077	
2010	halepensis	high	halepensis_high	0.1480221	484.3	12.65853	P. halepensis	0.1145921	
2011	halepensis	high	halepensis_high	0.1508633	330.9	12.93468	P. halepensis	0.1130189	
2012	halepensis	high	halepensis_high	0.04389473	290	12.90525	P. halepensis	0.1131541	
2013	halepensis	high	halepensis_high	0.1161283	215.9	12.39118	P. halepensis	0.1169863	
2014	halepensis	high	halepensis_high	0.04617053	222.2	13.19346	P. halepensis	0.1120789	
2015	halepensis	high	halepensis_high	0.07283431	214.1	13.34513	P. halepensis	0.1116911	
2016	halepensis	high	halepensis_high	0.03174495	274	13.01616	P. halepensis	0.1126778	
2017	halepensis	high	halepensis_high	0.08635824	171.4	13.70839	P. halepensis	0.1110823	
2018	halepensis	high	halepensis_high	0.08286346	395.5	12.15359	P. halepensis	0.120207	
2019	halepensis	high	halepensis_high	0.07499991	204.7	13.21725	P. halepensis	0.1120113	
2020	halepensis	high	halepensis_high	0.07621066	275.8	13.56741	P. halepensis	0.1112755	
2021	halepensis	high	halepensis_high	0.04650233	196.6	13.33447	P. halepensis	0.1117153	
2022	halepensis	high	halepensis_high	0.07267583	254.4	14.66723	P. halepensis	0.1105076	
2001	halepensis	medium	halepensis_medium	0.1684874	202.9	14.31136	P. halepensis	0.1106242	
2002	halepensis	medium	halepensis_medium	0.1775987	222.2	14.03289	P. halepensis	0.1107795	
2003	halepensis	medium	halepensis_medium	0.1766173	199	13.75783	P. halepensis	0.1110248	
2004	halepensis	medium	halepensis_medium	0.2561497	323.2	13.44531	P. halepensis	0.1114844	
2005	halepensis	medium	halepensis_medium	0.08581704	107.3	13.29281	P. halepensis	0.1118138	
2006	halepensis	medium	halepensis_medium	0.08165883	266.1	13.85621	P. halepensis	0.1109236	
2007	halepensis	medium	halepensis_medium	0.1181447	171.8	13.40368	P. halepensis	0.1115661	
2008	halepensis	medium	halepensis_medium	0.1629166	260.9	13.29086	P. halepensis	0.1118186	
2009	halepensis	medium	halepensis_medium	0.1210237	320.7	14.15875	P. halepensis	0.1107002	
2010	halepensis	medium	halepensis_medium	0.1912346	436.9	13.24589	P. halepensis	0.1119335	
2011	halepensis	medium	halepensis_medium	0.1455412	203.9	13.70181	P. halepensis	0.1110903	
2012	halepensis	medium	halepensis_medium	0.02651434	211.9	13.9476	P. halepensis	0.1108437	
2013	halepensis	medium	halepensis_medium	0.05568562	176.2	13.13108	P. halepensis	0.1122696	
2014	halepensis	medium	halepensis_medium	0.03503488	142.3	14.17628	P. halepensis	0.1106904	
2015	halepensis	medium	halepensis_medium	0.05777684	229.5	14.40997	P. halepensis	0.1105846	
2016	halepensis	medium	halepensis_medium	0.02008387	296	14.03355	P. halepensis	0.110779	
2017	halepensis	medium	halepensis_medium	0.07143941	143.1	14.3783	P. halepensis	0.1105966	
2018	halepensis	medium	halepensis_medium	0.06278213	331.5	13.19144	P. halepensis	0.1120848	
2001	pinaster	low	pinaster_low	0.1573845	366.4	13.22271	P. pinaster	0.1119962	
2002	pinaster	low	pinaster_low	0.09247242	344.7	13.00417	P. pinaster	0.112725	
2003	pinaster	low	pinaster_low	0.1796374	354.1	12.71884	P. pinaster	0.114184	
2004	pinaster	low	pinaster_low	0.1271469	327.9	12.64827	P. pinaster	0.1146657	
2005	pinaster	low	pinaster_low	0.04003083	147.1	12.66909	P. pinaster	0.1145177	
2006	pinaster	low	pinaster_low	0.1220973	370.9	12.90435	P. pinaster	0.1131583	
2007	pinaster	low	pinaster_low	0.05457975	318.7	12.35925	P. pinaster	0.1173496	
2008	pinaster	low	pinaster_low	0.09209923	298.7	12.24473	P. pinaster	0.1188217	
2009	pinaster	low	pinaster_low	0.08777828	476.6	13.21941	P. pinaster	0.1120054	
2010	pinaster	low	pinaster_low	0.147539	561.7	12.50525	P. pinaster	0.115834	
2011	pinaster	low	pinaster_low	0.1625557	271.4	12.83743	P. pinaster	0.1134921	
2012	pinaster	low	pinaster_low	0.04442081	276.6	13.05593	P. pinaster	0.1125275	
2013	pinaster	low	pinaster_low	0.1986661	382	12.1365	P. pinaster	0.1204904	
2014	pinaster	low	pinaster_low	0.08226787	258.1	13.12328	P. pinaster	0.1122948	
2015	pinaster	low	pinaster_low	0.07064392	213.9	13.41941	P. pinaster	0.1115345	
2016	pinaster	low	pinaster_low	0.03355328	313.9	13.12578	P. pinaster	0.1122867	
2017	pinaster	low	pinaster_low	0.07154471	200	13.75114	P. pinaster	0.1110323	
2018	pinaster	low	pinaster_low	0.09808652	448.9	12.33429	P. pinaster	0.1176474	
2019	pinaster	low	pinaster_low	0.04748416	267.3	13.37264	P. pinaster	0.1116308	
2020	pinaster	low	pinaster_low	0.1259869	321.5	13.44884	P. pinaster	0.1114777	
2021	pinaster	low	pinaster_low	0.05763474	199.8	13.45395	P. pinaster	0.1114682	
2001	pinaster	low-Dec	pinaster_low-Dec	0.1068164	359.4	12.74955	P. pinaster	0.1139915	
2002	pinaster	low-Dec	pinaster_low-Dec	0.1348452	335.1	12.55089	P. pinaster	0.1154307	
2003	pinaster	low-Dec	pinaster_low-Dec	0.149858	348.1	12.19674	P. pinaster	0.1195256	
