Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2108.398	6	4229.019	4228.795	1.000288	0.4278503	
Model:	mtabi4
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	513.3956	482.5919	533.9314	NaN	0	700	53.47649	
a	0.1123636	0.1001164	0.1223636	NaN	-0.5	0.5	0.03545093	
b	1	1.01	1	0.151126	1.5	1	-8.563083e+265	
c	-0.925509	-1.033169	-0.8531337	0.1609979	-2	2	0.549442	
d	9.206644	9.022511	9.29871	0.7034645	0	20	0.3820341	
scale	46.81462	41.76501	54.13316	3.547132	1	100	16.34356	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	a	b	c	d	scale
MA	-9922.39	2.063337	37.43128	5.443767	-34.29394	7.132546	
28.58816	12.80579	75.41023	
79.73504	12.76751	76.02646	
63.13915	12.74955	76.32275	
76.52466	12.55089	79.92153	
82.13716	12.19674	88.03577	
92.08521	12.10822	90.46122	
22.57019	12.14503	89.43143	
49.91984	12.34522	84.34134	
44.86561	11.82288	99.55906	
25.33824	11.73981	102.6125	
53.07981	12.75106	76.29769	
69.0459	11.96879	94.65076	
87.00979	12.25463	86.54147	
17.79226	12.49898	80.96603	
84.64869	11.61853	107.4319	
31.41988	12.56447	79.65557	
58.64055	12.8414	74.85487	
17.66949	12.54195	80.09819	
24.35855	13.19164	70.21778	
50.30292	11.68466	104.7496	
26.03474	12.74521	76.39498	
56.37862	12.92051	73.68044	
46.0027	12.89171	74.09867	
102.5347	11.40216	117.1827	
93.27183	11.06633	135.5808	
66.7561	10.74789	157.108	
35.58862	12.6457	78.12796	
21.4381	12.36559	83.86893	
105.3644	10.87789	147.8169	
151.8639	11.70427	103.9792	
179.7566	12.14038	89.55998	
34.60463	12.31773	84.99156	
117.4366	12.24323	86.83	
211.1243	12.25136	86.62386	
155.2159	12.06719	91.64594	
214.1994	11.65683	105.8621	
216.2651	11.55707	110.0466	
26.32774	11.61297	107.6635	
83.58044	11.78407	100.9612	
48.21447	11.27962	123.413	
86.54661	11.05442	136.312	
109.1735	12.19787	88.00571	
203.5879	11.4048	117.0544	
259.6151	11.72189	103.2968	
50.53229	11.98467	94.14973	
204.9435	11.00224	139.5815	
91.29824	11.95345	95.14068	
89.77696	12.41273	82.80589	
49.98555	11.93446	95.75547	
67.51524	12.7014	77.13984	
436.607	10.38867	186.4828	
464.8347	10.05579	218.4061	
335.8146	9.695946	257.2349	
192.2319	11.77895	101.1496	
170.624	11.37437	118.5492	
479.4308	9.779675	247.8674	
590.0851	10.65438	164.2309	
518.7288	11.27621	123.5943	
111.1375	11.46812	114.046	
319.483	11.29193	122.7629	
427.61	11.36156	119.1882	
307.1029	11.2134	127.0064	
409.5029	10.68792	161.6337	
393.2365	10.54402	173.1122	
49.49392	10.63039	166.118	
160.8752	10.73044	158.4098	
89.0744	10.28368	196.083	
119.7009	9.905245	234.1743	
190.5169	11.18799	128.4285	
329.3277	10.32817	191.9603	
395.1825	10.55143	172.4999	
125.0336	10.89882	146.3865	
341.9694	9.824873	242.8866	
152.6706	10.75392	156.6618	
188.1992	11.31034	121.8009	
115.0432	10.71864	159.2965	
134.3769	11.61003	107.7866	
249.2563	10.01994	222.0921	
106.3093	11.08017	134.7381	
168.4123	11.42356	116.149	
94.29939	11.27815	123.491	
97.40811	10.95966	142.3307	
93.63956	10.59436	168.9969	
37.00859	12.53905	80.1557	
41.28021	12.21697	87.50538	
105.2626	10.68292	162.0178	
120.2243	11.53532	111.0009	
112.5373	11.98963	93.99455	
37.01855	12.18565	88.33006	
102.7292	12.06482	91.71559	
77.3811	12.07944	91.28805	
92.74221	11.90305	96.7929	
95.69952	11.48727	113.1633	
98.86283	11.36707	118.9126	
24.59399	11.44162	115.2886	
61.35203	11.5831	108.9248	
76.37574	11.09165	134.0446	
39.04932	10.91769	145.1121	
122.589	12.02929	92.77535	
180.0251	11.21354	126.9986	
184.5336	11.43551	115.5786	
39.15045	11.72606	103.1368	
85.41198	10.77581	155.0529	
47.15722	11.70423	103.9807	
60.86518	12.07968	91.28106	
27.31166	11.67049	105.3129	
61.36126	12.4234	82.57094	
69.44927	10.83334	150.921	
44.13601	11.95002	95.25095	
101.6387	12.1936	88.11874	
88.20707	12.11509	90.2668	
93.7106	10.96018	142.2964	
68.5239	10.63989	165.3674	
72.72496	10.24435	199.7931	
21.40747	12.26096	86.38229	
23.06867	11.89945	96.9134	
74.2516	10.32175	192.5503	
113.2315	11.19622	127.9656	
78.64091	11.70108	104.1037	
16.90564	11.91019	96.55461	
55.49529	11.74848	102.2847	
59.65689	11.77294	101.3714	
54.59781	11.61888	107.4176	
66.19441	11.17159	129.3598	
50.5653	11.03588	137.4611	
12.50828	11.13217	131.6392	
31.92204	11.23782	125.6625	
26.61884	10.76736	155.6714	
14.34555	10.55713	172.0306	
60.92409	11.71132	103.7051	
105.2597	10.87116	148.2802	
107.3687	11.06629	135.5829	
15.94044	11.36616	118.9578	
36.51335	10.40011	185.4638	
17.60597	11.3142	121.6009	
34.33305	11.72756	103.0793	
14.76383	11.268	124.032	
39.97349	12.07103	91.53334	
279.7229	10.46351	179.9159	
304.4873	10.14365	209.5673	
261.2084	9.746558	251.5514	
136.0704	11.83071	99.2812	
50.45262	11.41203	116.7042	
113.4599	9.813829	244.0984	
316.3771	10.70069	160.657	
336.4318	11.29491	122.6064	
64.17238	11.50524	112.3455	
