Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.772	5	477.787	477.544	0.9992032	0.4438469	
Model:	mcombrat1
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9989342	0.3396376	1	5.974334	0	1	0.1784971	
OTmed	5	5	5.9	17.88067	5	20	12	
Tb	0.4737757	0.3439185	0.6052478	1.13003	0.01	5	4.99	
Popt	906.9227	300	1000	3731.501	300	1000	700	
Pb	1.341546	0.4292949	5	4.661097	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	35.69267	-104.6436	6.159699	-3616.85	-2.027249	
OTmed	-104.6436	319.7183	-19.65852	12444.07	9.288544	
Tb	6.159699	-19.65852	1.276969	-593.6363	-0.6192679	
Popt	-3616.85	12444.07	-593.6363	13924100	15938.32	
Pb	-2.027249	9.288544	-0.6192679	15938.32	21.72582	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2005	halepensis	medium	halepensis_medium	0.08581704	107.3	13.29281	P. halepensis	0.03349339	
2006	halepensis	medium	halepensis_medium	0.08165883	266.1	13.85621	P. halepensis	0.06501742	
2007	halepensis	medium	halepensis_medium	0.1181447	171.8	13.40368	P. halepensis	0.05307447	
2008	halepensis	medium	halepensis_medium	0.1629166	260.9	13.29086	P. halepensis	0.07720028	
2009	halepensis	medium	halepensis_medium	0.1210237	320.7	14.15875	P. halepensis	0.06622205	
2010	halepensis	medium	halepensis_medium	0.1912346	436.9	13.24589	P. halepensis	0.1039809	
2011	halepensis	medium	halepensis_medium	0.1455412	203.9	13.70181	P. halepensis	0.05593405	
2012	halepensis	medium	halepensis_medium	0.02651434	211.9	13.9476	P. halepensis	0.05325667	
2013	halepensis	medium	halepensis_medium	0.05568562	176.2	13.13108	P. halepensis	0.05939565	
2014	halepensis	medium	halepensis_medium	0.03503488	142.3	14.17628	P. halepensis	0.03427756	
2015	halepensis	medium	halepensis_medium	0.05777684	229.5	14.40997	P. halepensis	0.04873478	
2016	halepensis	medium	halepensis_medium	0.02008387	296	14.03355	P. halepensis	0.06575579	
2017	halepensis	medium	halepensis_medium	0.07143941	143.1	14.3783	P. halepensis	0.03226906	
