Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.48	6	-188.6186	-188.9601	1.027679	0.5002233	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5862935	0	1	1.055765	0	1	1	
b	0.2332348	0	0.6866351	0.869484	0	0.9	0.9	
k	-1.812549	-2	0.204424	9.329109	-2	2	4	
t0	9.803463	0	11.94081	3.849158	0	20	20	
Popt	692.3756	300	1000	1889.172	300	1000	700	
Pb	1.466628	0	5	9.038473	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0	Popt	Pb
MR	1.114639	-0.5829135	6.99723	-3.585861	-130.8976	-0.248767	
2006	pinaster	low-Dec	pinaster_low-Dec	0.09018941	353.4	12.34522	P. pinaster	0.1270966	
2007	pinaster	low-Dec	pinaster_low-Dec	0.07338176	322.3	11.82288	P. pinaster	0.1292087	
2008	pinaster	low-Dec	pinaster_low-Dec	0.04840161	285.4	11.73981	P. pinaster	0.1248003	
2009	pinaster	low-Dec	pinaster_low-Dec	0.1039761	446.3	12.75106	P. pinaster	0.1327959	
2010	pinaster	low-Dec	pinaster_low-Dec	0.1173053	541	11.96879	P. pinaster	0.143406	
2011	pinaster	low-Dec	pinaster_low-Dec	0.1305473	292.8	12.25463	P. pinaster	0.119515	
2012	pinaster	low-Dec	pinaster_low-Dec	0.03379989	277.9	12.49898	P. pinaster	0.11544	
2013	pinaster	low-Dec	pinaster_low-Dec	0.1174534	326.3	11.61853	P. pinaster	0.134044	
2014	pinaster	low-Dec	pinaster_low-Dec	0.05003962	252.3	12.56447	P. pinaster	0.1102651	
2015	pinaster	low-Dec	pinaster_low-Dec	0.09789741	218.7	12.8414	P. pinaster	0.1017587	
2016	pinaster	low-Dec	pinaster_low-Dec	0.03536019	304.8	12.54195	P. pinaster	0.1196041	
2017	pinaster	low-Dec	pinaster_low-Dec	0.04882452	199.1	13.19164	P. pinaster	0.09597404	
2018	pinaster	low-Dec	pinaster_low-Dec	0.07868437	445.6	11.68466	P. pinaster	0.1444549	
2019	pinaster	low-Dec	pinaster_low-Dec	0.04198474	252.4	12.74521	P. pinaster	0.1096284	
2020	pinaster	low-Dec	pinaster_low-Dec	0.09480179	323.4	12.92051	P. pinaster	0.1208886	
2021	pinaster	low-Dec	pinaster_low-Dec	0.07480113	202.2	12.89171	P. pinaster	0.0973202	
2001	pinaster	medium	pinaster_medium	0.26936	360.2	12.25136	P. pinaster	0.1285827	
2002	pinaster	medium	pinaster_medium	0.189034	341.6	12.06719	P. pinaster	0.1282705	
2003	pinaster	medium	pinaster_medium	0.3093132	355.5	11.65683	P. pinaster	0.1369436	
2004	pinaster	medium	pinaster_medium	0.2482097	326.3	11.55707	P. pinaster	0.1356457	
2005	pinaster	medium	pinaster_medium	0.04001177	147.8	11.61297	P. pinaster	0.08791933	
2006	pinaster	medium	pinaster_medium	0.1178683	362.9	11.78407	P. pinaster	0.1350601	
2007	pinaster	medium	pinaster_medium	0.0556492	322	11.27962	P. pinaster	0.1446017	
2008	pinaster	medium	pinaster_medium	0.1127203	335.5	11.05442	P. pinaster	0.1583842	
2009	pinaster	medium	pinaster_medium	0.1548122	532	12.19787	P. pinaster	0.1402476	
2010	pinaster	medium	pinaster_medium	0.2486419	666.6	11.4048	P. pinaster	0.1600805	
2011	pinaster	medium	pinaster_medium	0.3110653	305.6	11.72189	P. pinaster	0.1285849	
2012	pinaster	medium	pinaster_medium	0.0837598	334.9	11.98467	P. pinaster	0.1284502	
2013	pinaster	medium	pinaster_medium	0.228604	425	11.00224	P. pinaster	0.1728552	
2014	pinaster	medium	pinaster_medium	0.1205257	333.6	11.95345	P. pinaster	0.1287078	
2015	pinaster	medium	pinaster_medium	0.1291197	260.8	12.41273	P. pinaster	0.1127179	
2016	pinaster	medium	pinaster_medium	0.06625869	382.1	11.93446	P. pinaster	0.1344839	
2017	pinaster	medium	pinaster_medium	0.09849051	207.7	12.7014	P. pinaster	0.09929546	
2001	pinaster	high	pinaster_high	0.5828131	368.2	11.36156	P. pinaster	0.1475978	
2002	pinaster	high	pinaster_high	0.3738774	349.9	11.2134	P. pinaster	0.1517793	
2003	pinaster	high	pinaster_high	0.5811849	390.2	10.68792	P. pinaster	0.1964571	
2004	pinaster	high	pinaster_high	0.5059657	373.1	10.54402	P. pinaster	0.2103162	
2005	pinaster	high	pinaster_high	0.07626182	163	10.63039	P. pinaster	0.1345604	
2006	pinaster	high	pinaster_high	0.2310098	373.2	10.73044	P. pinaster	0.1897394	
2007	pinaster	high	pinaster_high	0.1078383	333.4	10.28368	P. pinaster	0.2379818	
2008	pinaster	high	pinaster_high	0.1626592	376.8	9.905245	P. pinaster	0.312742	
2009	pinaster	high	pinaster_high	0.29091	612.7	11.18799	P. pinaster	0.1699555	
